"SKU","Price","Date"
1,185.13,"2010-01-12"
1,187.11,"2010-01-12"
1,169.45,"2010-01-12"
2,56,"2010-01-12"
2,56,"2010-01-12"
1,185.36,"2010-01-12"
2,59.38,"2010-01-12"
1,188.4,"2010-01-12"
2,57.07,"2010-01-12"
1,139.3,"2009-07-06"
1,167.5,"2009-07-07"
3,109.58,"2009-07-07"
2,57.95,"2010-01-12"
1,187.62,"2010-01-12"
3,148.23,"2009-07-07"
2,54.99,"2009-07-07"
2,54.75,"2009-07-07"
3,115.98,"2009-07-07"
2,55.59,"2009-07-07"
1,116.43,"2009-07-07"
2,54.74,"2009-07-07"
2,54.74,"2009-07-07"
2,54.74,"2009-07-07"
3,109.58,"2009-07-07"
2,55.5,"2009-07-07"
2,59.85,"2010-01-12"
1,185.36,"2010-01-13"
2,59.38,"2010-01-13"
1,183.31,"2010-01-13"
1,185.13,"2010-01-13"
1,148.32,"2010-01-13"
2,39.72,"2009-07-08"
2,57.95,"2010-01-13"
3,148.23,"2009-07-08"
2,54.99,"2009-07-08"
2,56.61,"2010-01-13"
3,115.98,"2009-07-08"
1,148.32,"2010-01-13"
2,56.61,"2010-01-13"
1,139.3,"2009-07-07"
1,167.5,"2009-07-08"
3,109.58,"2009-07-08"
2,55.59,"2009-07-08"
1,116.43,"2009-07-08"
2,54.74,"2009-07-08"
2,54.74,"2009-07-08"
2,55.5,"2009-07-08"
2,54.43,"2009-07-08"
3,109.58,"2009-07-08"
2,59.85,"2010-01-13"
2,56.99,"2010-01-14"
1,185.13,"2010-01-14"
1,186.82,"2010-01-14"
1,182.21,"2010-01-14"
2,59.38,"2010-01-14"
1,148.32,"2010-01-14"
1,183.31,"2010-01-14"
2,57.07,"2010-01-14"
1,139.3,"2009-07-08"
2,56.61,"2010-01-14"
2,57.95,"2010-01-14"
2,54.75,"2009-07-08"
3,115.98,"2009-07-09"
2,55.59,"2009-07-09"
1,116.43,"2009-07-09"
2,54.75,"2009-07-09"
1,167.5,"2009-07-09"
3,109.58,"2009-07-09"
2,54.74,"2009-07-09"
3,109.58,"2009-07-09"
1,139.3,"2009-07-09"
2,55.5,"2009-07-09"
2,54.74,"2009-07-09"
2,54.74,"2009-07-09"
2,50.4,"2010-01-15"
2,56,"2010-01-15"
1,163.39,"2010-01-15"
2,54.99,"2009-07-09"
2,54.75,"2009-07-10"
3,122.68,"2010-01-15"
3,115.98,"2009-07-10"
2,55.59,"2009-07-10"
1,154.1,"2009-07-10"
3,109.58,"2009-07-10"
1,116.43,"2009-07-10"
2,57.96,"2009-07-10"
2,54.74,"2009-07-10"
2,54.74,"2009-07-10"
2,52.28,"2009-07-10"
2,55.98,"2010-01-15"
2,53.29,"2010-01-16"
2,55.5,"2009-07-10"
3,109.58,"2009-07-10"
1,139.3,"2009-07-10"
3,84.37,"2010-01-16"
2,54.91,"2010-01-16"
1,148.32,"2010-01-16"
1,154.1,"2009-07-11"
3,109.58,"2009-07-11"
2,54.99,"2009-07-10"
2,54.99,"2009-07-11"
3,115.98,"2009-07-11"
2,55.59,"2009-07-11"
1,116.43,"2009-07-11"
2,54.74,"2009-07-11"
2,54.74,"2009-07-11"
2,57.96,"2009-07-11"
2,54.74,"2009-07-11"
3,109.58,"2009-07-11"
3,109.71,"2010-01-16"
2,53.29,"2010-01-16"
2,55.5,"2009-07-11"
1,148.32,"2010-01-16"
3,84.37,"2010-01-17"
2,50.5,"2010-01-17"
1,148.32,"2010-01-17"
2,54.75,"2009-07-11"
